activity_final,type_final,species_final,age_final,injury_final,final_date,country,state,location,sex
surfing,unprovoked,tiger shark,41.0,injured,2022-07-13,usa,new york,"smith point beach, suffolk county",M
surfing,unprovoked,other shark,,injured,2022-07-10,usa,florida,"new smyrna beach, volusia county",M
other,unprovoked,unknown,17.0,injured,2022-07-07,usa,new york,"ocean beach, long island",M
diving,unprovoked,unknown,60.0,fatal,2022-07-04,japan,okinawa,nago,M
surfing,unprovoked,unknown,28.0,injured,2022-07-03,usa,florida,"new smyrna beach, volusia county",M
other,unprovoked,other shark,,injured,2022-07-03,usa,new york,"smith point beach, suffolk county",M
surfing,unprovoked,unknown,,injured,2022-07-01,indonesia,bali,balian beach,F
diving,unprovoked,tiger shark,,fatal,2022-07-01,egypt,"hurghada, red sea governorate",sahl hasheesh,F
swimming,unprovoked,tiger shark,68.0,fatal,2022-07-01,egypt,"hurghada, red sea governorate",sahl hasheesh,F
swimming,unprovoked,unknown,,injured,2022-06-30,usa,new york,"jones beach, nassau county",M
other,unprovoked,other shark,17.0,injured,2022-06-30,usa,florida,"keaton beach,",F
swimming,unprovoked,unknown,35.0,injured,2022-06-29,usa,florida,"sawyer key , monroe county",F
other,unprovoked,unknown,,injured,2022-06-29,usa,florida,"summerland key, monroe county",M
swimming,unprovoked,other shark,,fatal,2022-06-28,south africa,western cape province,"sanctuary beach, plettenberg bay",M
fishing,unprovoked,tiger shark,,other,2022-06-24,jamaica,,,M
other,unprovoked,unknown,,injured,2022-06-23,usa,florida,"redington beach, pinellas county",F
swimming,unprovoked,white shark,62.0,injured,2022-06-22,usa,california,"pacific grove, monterey county",M
